id,date_time,customer_name,customer_email,product_name,product_price
20,2025-04-28T08:23:48+02:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Webcam,233.26299
21,2025-05-01T01:43:40+02:00,Rozella Torphy,rozella.torphy@hotmail.com,Headphones,339.31143
22,2025-05-01T18:37:43+02:00,Makenna Keeling,makenna.keeling@yahoo.com,Mouse,443.54916
23,2025-05-03T18:09:27+02:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Monitor,677.28424
24,2025-05-06T16:47:40+02:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,USB Drive,226.73737
25,2025-05-08T17:57:46+02:00,Myron Mertz,myron.mertz@yahoo.com,Laptop,628.16797
26,2025-05-12T00:29:52+02:00,Jess Stanton,jess.stanton@yahoo.com,USB Drive,226.73737
27,2025-05-15T09:30:45+02:00,Quinton Quitzon,quinton.quitzon@hotmail.com,Mouse,443.54916
28,2025-05-16T21:36:10+02:00,Romaine Mayer,romaine.mayer@yahoo.com,Smartphone,743.2342
29,2025-05-22T08:42:46+02:00,Kenyatta Nienow,kenyatta.nienow@gmail.com,Monitor,677.28424
30,2025-05-27T19:41:44+02:00,Wilhelmine Klocko,wilhelmine.klocko@gmail.com,Laptop,628.16797
31,2025-06-02T05:13:28+02:00,Demario Lowe,demario.lowe@hotmail.com,Headphones,339.31143
32,2025-06-04T10:40:54+02:00,Jess Stanton,jess.stanton@yahoo.com,USB Drive,226.73737
33,2025-06-07T09:41:45+02:00,Evie Stanton,evie.stanton@gmail.com,Smartphone,743.2342
34,2025-06-07T12:58:25+02:00,Kobe Kassulke,kobe.kassulke@hotmail.com,Tablet,490.0346
35,2025-06-07T20:55:45+02:00,Evie Stanton,evie.stanton@gmail.com,Tablet,490.0346
36,2025-06-09T04:15:52+02:00,Evie Stanton,evie.stanton@gmail.com,Monitor,677.28424
37,2025-06-14T21:21:23+02:00,Ora Stokes,ora.stokes@yahoo.com,Laptop,628.16797
38,2025-06-19T22:50:27+02:00,Claudia Ledner,claudia.ledner@hotmail.com,Mouse,443.54916
39,2025-06-21T16:59:20+02:00,Weston Abernathy,weston.abernathy@hotmail.com,Printer,915.6772
40,2025-06-22T07:16:14+02:00,Morris Ledner,morris.ledner@gmail.com,USB Drive,226.73737
41,2025-06-24T14:57:35+02:00,Makenna Keeling,makenna.keeling@yahoo.com,Headphones,339.31143
42,2025-06-30T04:29:31+02:00,Nat Douglas,nat.douglas@hotmail.com,Webcam,233.26299
43,2025-07-01T00:04:56+02:00,Makenna Keeling,makenna.keeling@yahoo.com,Laptop,628.16797
44,2025-07-03T04:41:36+02:00,Adrianna Schmitt,adrianna.schmitt@yahoo.com,Tablet,490.0346
45,2025-07-03T10:07:05+02:00,Mason Monahan,mason.monahan@gmail.com,USB Drive,226.73737
46,2025-07-05T21:51:09+02:00,Evie Stanton,evie.stanton@gmail.com,Printer,915.6772
47,2025-07-08T16:29:56+02:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Smartphone,743.2342
48,2025-07-08T19:55:33+02:00,Evie Stanton,evie.stanton@gmail.com,Monitor,677.28424
49,2025-07-11T15:23:11+02:00,Adrianna Schmitt,adrianna.schmitt@yahoo.com,Tablet,490.0346
50,2025-07-16T02:26:17+02:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,Mouse,443.54916
51,2025-07-19T04:29:01+02:00,Allan Volkman,allan.volkman@gmail.com,Printer,915.6772
52,2025-07-21T20:23:38+02:00,Weston Abernathy,weston.abernathy@hotmail.com,USB Drive,226.73737
53,2025-07-27T08:12:19+02:00,Romaine Mayer,romaine.mayer@yahoo.com,Mouse,443.54916
54,2025-07-28T05:22:49+02:00,Claudia Ledner,claudia.ledner@hotmail.com,Tablet,490.0346
55,2025-07-30T16:07:55+02:00,Myah Purdy,myah.purdy@yahoo.com,Monitor,677.28424
56,2025-08-03T21:41:01+02:00,Morris Ledner,morris.ledner@gmail.com,Smartphone,743.2342
57,2025-08-04T21:59:27+02:00,Mason Monahan,mason.monahan@gmail.com,USB Drive,226.73737
58,2025-08-09T11:14:01+02:00,Aubree Wunsch,aubree.wunsch@hotmail.com,USB Drive,226.73737
59,2025-08-13T02:02:08+02:00,Aubree Wunsch,aubree.wunsch@hotmail.com,Keyboard,860.10724
60,2025-08-16T17:41:09+02:00,Demario Lowe,demario.lowe@hotmail.com,Printer,915.6772
61,2025-08-18T04:58:25+02:00,Wilhelmine Klocko,wilhelmine.klocko@gmail.com,Smartphone,743.2342
62,2025-08-21T16:31:36+02:00,Romaine Mayer,romaine.mayer@yahoo.com,Mouse,443.54916
63,2025-08-27T02:36:09+02:00,Mason Monahan,mason.monahan@gmail.com,Keyboard,860.10724
64,2025-08-28T04:10:53+02:00,Makenna Keeling,makenna.keeling@yahoo.com,Tablet,490.0346
65,2025-09-02T09:15:18+02:00,Evie Stanton,evie.stanton@gmail.com,Laptop,628.16797
66,2025-09-06T08:27:57+02:00,Myah Purdy,myah.purdy@yahoo.com,Headphones,339.31143
67,2025-09-11T10:24:30+02:00,Nat Douglas,nat.douglas@hotmail.com,Printer,915.6772
68,2025-09-15T08:20:58+02:00,Adrianna Schmitt,adrianna.schmitt@yahoo.com,Printer,915.6772
69,2025-09-18T12:23:35+02:00,Wayne Ernser,wayne.ernser@yahoo.com,Smartphone,743.2342
70,2025-09-22T17:25:25+02:00,Adrianna Schmitt,adrianna.schmitt@yahoo.com,Mouse,443.54916
71,2025-09-27T12:45:37+02:00,Evie Stanton,evie.stanton@gmail.com,USB Drive,226.73737
72,2025-09-30T08:34:07+02:00,Wendy Lockman,wendy.lockman@yahoo.com,Keyboard,860.10724
73,2025-10-01T13:13:26+02:00,Amelie Lang,amelie.lang@yahoo.com,Monitor,677.28424
74,2025-10-03T22:51:03+02:00,Kenyatta Nienow,kenyatta.nienow@gmail.com,Printer,915.6772
75,2025-10-05T13:01:02+02:00,Ora Stokes,ora.stokes@yahoo.com,Printer,915.6772
76,2025-10-06T22:16:16+02:00,Joesph Schulist,joesph.schulist@gmail.com,Smartphone,743.2342
77,2025-10-11T07:56:29+02:00,Wendy Lockman,wendy.lockman@yahoo.com,Tablet,490.0346
78,2025-10-16T06:43:07+02:00,Myrtle Hilpert,myrtle.hilpert@yahoo.com,USB Drive,226.73737
79,2025-10-16T10:07:52+02:00,Rozella Torphy,rozella.torphy@hotmail.com,Laptop,628.16797
80,2025-10-20T11:24:26+02:00,Mason Monahan,mason.monahan@gmail.com,Tablet,490.0346
81,2025-10-23T05:58:59+02:00,Kobe Kassulke,kobe.kassulke@hotmail.com,Printer,915.6772
82,2025-10-27T00:16:34+01:00,Mason Monahan,mason.monahan@gmail.com,Monitor,677.28424
83,2025-10-29T12:15:48+01:00,Aubree Wunsch,aubree.wunsch@hotmail.com,Keyboard,860.10724
84,2025-11-04T00:34:39+01:00,Morris Ledner,morris.ledner@gmail.com,Webcam,233.26299
85,2025-11-07T11:19:01+01:00,Ora Stokes,ora.stokes@yahoo.com,Headphones,339.31143
86,2025-11-12T19:53:10+01:00,Amelie Lang,amelie.lang@yahoo.com,Headphones,339.31143
87,2025-11-17T17:32:04+01:00,Evie Stanton,evie.stanton@gmail.com,Headphones,339.31143
88,2025-11-20T03:37:12+01:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,USB Drive,226.73737
89,2025-11-22T01:52:10+01:00,Myron Mertz,myron.mertz@yahoo.com,Headphones,339.31143
90,2025-11-26T08:23:00+01:00,Jess Stanton,jess.stanton@yahoo.com,USB Drive,226.73737
91,2025-11-29T05:44:38+01:00,Morris Ledner,morris.ledner@gmail.com,Laptop,628.16797
92,2025-12-04T07:13:26+01:00,Kobe Kassulke,kobe.kassulke@hotmail.com,Mouse,443.54916
93,2025-12-09T03:49:48+01:00,Elizabeth Wyman,elizabeth.wyman@hotmail.com,USB Drive,226.73737
94,2025-12-13T13:41:33+01:00,Claudia Ledner,claudia.ledner@hotmail.com,Laptop,628.16797
95,2025-12-17T18:13:12+01:00,Quinton Quitzon,quinton.quitzon@hotmail.com,Smartphone,743.2342
96,2025-12-17T18:31:18+01:00,Nat Douglas,nat.douglas@hotmail.com,Keyboard,860.10724
97,2025-12-22T02:20:54+01:00,Romaine Mayer,romaine.mayer@yahoo.com,Mouse,443.54916
98,2025-12-25T11:59:02+01:00,Adrianna Schmitt,adrianna.schmitt@yahoo.com,Webcam,233.26299
99,2025-12-31T06:21:36+01:00,Myah Purdy,myah.purdy@yahoo.com,Smartphone,743.2342
